,category,grade,name,socialblade_rank,subscriber_rank,view_rank
0,Music, A++ ,T-Series,1,5,1
1,Howto, A++ ,5-Minute Crafts,3,8,43
2,Entertainment, A++ ,VN Children’s Music,5,24214500,3490
3,Education, A++ ,Cocomelon - Nursery Rhymes,7,28,21
4,People, A++ ,Like Nastya Vlog,9,186,219
5,Entertainment, A+ ,Salih Reis'in Dünyası,11,24408648,278
6,Music, A+ ,U2VEVO,13,9399,1620
7,Entertainment, A+ ,✿ Kids Diana Show,15,152,239
8,Film, A+ ,jorgeembon,17,25046,3889
9,Music, A+ ,netd müzik,18,206,4
10,Tech, A+ ,Google,20,612,653
11,Music, A+ ,Zee Music Company,23,32,29
12,People, A+ ,Boram Tube ToysReview [보람튜브…,25,587,836
13,People, A+ ,سيف SAIIF,27,4193,10310
14,Education, A+ ,Toys and Colors,29,592,324
15,Entertainment, A+ ,one31,31,193,75
16,Music, A+ ,GR6 EXPLODE,35,70,74
17,Music, A+ ,Sony Music India,38,62,88
18,Entertainment, A+ ,CKN Toys,40,311,76
19,Music, A+ ,SonyMusicIndiaVEVO,42,116,101
20,People, A+ ,BLACKPINK,44,126,290
21,Comedy, A+ ,All Of Vines,46,7755,7323
22,Howto, A+ ,HelloMaphie,50,1148,3460
23,Entertainment, A ,LES BOYS TV2,54,24174098,1325
24,Music, A ,1theK (원더케이),57,153,40
25,Music, A ,قناة طيور الجنة | toyoraljanahtv,59,305,70
26,, A ,KutKit Kids,61,24259724,13722
27,Entertainment, A ,Shemaroo,63,191,144
28,Music, A ,Maroon5VEVO,66,130,42
29,Music, A ,RSDivulga - Funk,68,37877,18585
30,Entertainment, A ,NIMAGAP TV,72,29370,19617
31,Entertainment, A ,z a m,75,27257,20176
32,Film, A ,Goldmines Telefilms,78,95,959
33,Music, A ,Venus,80,314,304
34,Music, A ,DJSnakeVEVO,82,629,381
35,Music, A ,WORLDSTARHIPHOP,84,92,34
36,Comedy, A ,Dehati India N Masti,86,609,459
37,People, A ,KidzToon,88,24459186,15113
38,Entertainment, A ,Webs & Tiaras - Toy Monster Compilations,90,558,118
39,Entertainment, A ,SuperToyzCollector,90,774,1744
40,News, A ,Aaj Tak,93,213,370
41,Howto, A ,Izabela Stress,99,1670,1782
42,, A ,Boong Family,101,17693,21467
43,Howto, A ,LY LY ToysReview,103,24250077,22209
44,Music, A ,Galinha Pintadinha,105,147,55
45,Music, A ,Bounce Patrol Kids,107,903,399
46,Entertainment, A ,ThaiCh8 : ช่อง 8,109,743,241
47,People, A ,Las Ratitas,114,412,706
48,Games, A ,June WH Lake,116,24455593,25074
