,category,created,name,subscribers,uploads,views
0,Music,2006-03-13,T-Series,75525567,12922,55822174332
1,Howto,2016-11-15,5-Minute Crafts,43986498,2480,10991879662
2,Entertainment,2015-07-20,VN Children’s Music,0,128,626555681
3,Education,2006-09-01,Cocomelon - Nursery Rhymes,29620671,386,15224515856
4,People,2016-12-06,Like Nastya Vlog,13176754,193,4651207127
5,Entertainment,2016-02-14,Salih Reis'in Dünyası,0,305,4000567191
6,Music,2009-05-12,U2VEVO,1057234,99,1158566707
7,Entertainment,2015-05-12,✿ Kids Diana Show,14535614,516,4371777210
8,Film,2006-10-13,jorgeembon,438031,502,571278746
9,Music,2014-01-23,netd müzik,12410338,9132,26073431774
10,Tech,2005-09-18,Google,6877457,2172,2318013912
11,Music,2014-03-12,Zee Music Company,28086365,3676,13537667493
12,People,2016-05-18,Boram Tube ToysReview [보람튜브…,7150283,173,1931872183
13,People,2016-07-17,سيف SAIIF,1942004,99,246379016
14,Education,2016-03-17,Toys and Colors,7038020,177,3682854539
15,Entertainment,2013-01-10,one31,12867705,47493,8861223645
16,Music,2014-08-05,GR6 EXPLODE,19827740,2658,9036502560
17,Music,2009-09-02,Sony Music India,20775118,2332,8274460222
18,Entertainment,2015-03-28,CKN Toys,10319441,469,8840913207
19,Music,2009-09-02,SonyMusicIndiaVEVO,16547950,3003,7445339750
20,People,2016-06-29,BLACKPINK,15867908,203,3886300133
21,Comedy,2015-01-24,All Of Vines,1239809,246,333249778
22,Howto,2009-12-06,HelloMaphie,4656998,467,640787543
23,Entertainment,2017-02-07,LES BOYS TV2,0,136,1377131513
24,Music,2011-01-31,1theK (원더케이),14399636,14082,11604273296
25,Music,2008-11-24,قناة طيور الجنة | toyoraljanahtv,10417055,2259,9410154326
26,,2011-10-03,KutKit Kids,0,254,187189527
27,Entertainment,2007-09-01,Shemaroo,12887850,6506,5905082641
28,Music,2009-05-12,Maroon5VEVO,15638687,112,11446093677
29,Music,2007-04-11,RSDivulga - Funk,293171,9,141922417
30,Entertainment,2016-09-07,NIMAGAP TV,379327,1269,134856352
31,Entertainment,2015-02-16,z a m,407651,1236,131360930
32,Film,2012-01-21,Goldmines Telefilms,17989998,363,1746479134
33,Music,2005-09-22,Venus,10252023,4213,3777355122
34,Music,2014-01-27,DJSnakeVEVO,6756395,27,3265018275
35,Music,2008-11-08,WORLDSTARHIPHOP,18153496,5006,12632447681
36,Comedy,2015-07-20,Dehati India N Masti,6912977,668,2897995934
37,People,2017-12-24,KidzToon,0,65,171701720
38,Entertainment,2015-09-23,Webs & Tiaras - Toy Monster Compilations,7203358,62,6727576995
39,Entertainment,2013-08-03,SuperToyzCollector,5984068,163,1099375260
40,News,2009-08-27,Aaj Tak,12268269,82566,3335615655
41,Howto,2016-02-05,Izabela Stress,3673377,427,1081070347
42,,2013-09-27,Boong Family,617259,58,129941996
43,Howto,2007-11-09,LY LY ToysReview,0,75,131539729
44,Music,2006-08-30,Galinha Pintadinha,14607675,47,10347895876
45,Music,2013-01-01,Bounce Patrol Kids,5311936,150,3205491848
46,Entertainment,2011-10-17,ThaiCh8 : ช่อง 8,6080400,42830,4350783958
47,People,2015-10-18,Las Ratitas,8671560,114,2191379764
48,Games,2016-11-02,June WH Lake,0,13,106368429
49,People,2015-05-18,Hello TV- Nursery Rhymes,3070015,71,374562921
50,Music,2009-12-11,David Guetta,19346463,469,10476663290
51,,2017-02-28,Mr. Tsismoso,186856,1863,117221760
52,Music,2014-08-10,Wave Music - Bhojpuri,7536017,15364,4200676592
53,Music,2009-05-12,EminemVEVO,26493963,83,12208639782
54,Comedy,2018-07-20,FV FAMILY,1294312,448,457663326
55,Film,2016-03-13,OYUNCAKOYNUYORUM,3504441,540,1613867417
56,,2015-05-12,SHN MOVIES,0,7,7249626
57,Film,2015-09-12,Goldmines,7198351,362,1052345892
58,,2017-10-20,Funny TV show,463489,46,98318893
59,Film,2015-03-29,shfa,3091699,424,1050454563
60,Film,2012-09-27,Nick Jr.,4488761,2185,3724266721
61,Music,2010-11-08,GMM GRAMMY OFFICIAL,14351164,6123,14259405259
62,Music,2012-08-25,Alan Walker,19953664,164,5384902561
63,Music,2012-03-15,Worldwide Records Bhojpuri,7163921,2056,3422170527
64,Film,2013-09-27,Hasbro,2920548,9026,3944777001
65,Entertainment,2005-10-22,LEGO,6810606,19684,8607136267
66,People,2012-06-01,ABP NEWS,8135162,115296,2649204801
67,Music,2012-01-23,ImagineDragonsVEVO,10651318,98,5946890009
68,People,2016-05-11,Давай поиграем в игрушки,5592957,220,1694921239
69,Entertainment,2015-07-28,RCTI - LAYAR DRAMA INDONESIA,3487235,29954,2982123495
70,Howto,2017-03-15,BRIGHT SIDE,21113695,1954,3827655985
71,Entertainment,2016-07-11,ARY Digital,5222895,16230,2591335975
72,Film,2007-02-01,Pencilmation,6903087,389,3248423263
73,Howto,2018-01-18,5-Minute Crafts GIRLY,8569439,989,1209456601
74,Music,2010-09-30,jbalvinVEVO,13994999,131,10886033226
75,Howto,2016-09-24,Rainbow ToyTocToc,4445345,301,1143540834
76,Games,2013-10-30,SNL,42955,0,0
77,Film,2016-03-15,Happy Lives,0,228,1018315145
78,Education,2016-07-15,BabyBus - Kids TV - Songs & Stories,3092903,1114,2100728245
79,,2018-04-06,Tekashi 6ix9ine,6140621,4,1131638893
80,Music,2008-06-04,ibighit,19282348,280,4147520620
81,Music,2012-09-04,BeckyGVEVO,6640525,53,4226825507
82,Entertainment,2007-01-06,KBS World TV,8213180,33796,5769220182
83,Film,2015-12-14,Little Angel: Nursery Rhymes & Kids Songs,1795227,872,1259558957
84,People,2015-07-14,ETV Jabardasth,4719652,3499,3644612578
85,Education,2016-12-10,ZicZic Baby,2883858,39,469543047
86,Music,2016-01-11,KarolGVEVO,3626051,28,2613751149
87,Entertainment,2016-11-20,Ryan's Family Review,3073292,362,3590615888
88,,2012-12-03,Mr Ryder India,622393,28,78991999
89,Entertainment,2012-03-23,Volga Video,7595791,30106,3935999482
90,Music,2006-10-24,Ultra Music,16422817,3699,9686191755
91,Entertainment,2015-07-17,La Rosa de Guadalupe,4637382,1610,1852015698
92,Music,2009-05-12,LadyGagaVEVO,9413128,147,6092701599
93,Music,2012-10-22,ChainsmokersVEVO,12359858,131,7909356546
94,People,2015-10-14,Zalfa Aulia Channel,817852,291,237986993
95,Music,2014-05-06,SebastianYatraVEVO,2864680,24,2685212561
96,Entertainment,2015-01-04,YoungBoy Never Broke Again,4016906,194,2223056443
97,Music,2009-07-25,Ajay Yuvraj,229934,12004,151767157
98,Music,2006-12-15,Atlantic Records,8826418,1068,8139850712
99,Games,2016-03-04,Hong Giang DIY Slime,3651478,396,1022891452
100,Music,2014-03-23,White Hill Music,6593537,3074,2477805639
101,Games,2015-01-04,LazarBeam,7218410,1005,1714536120
102,Howto,2015-09-12,Troom Troom,10425244,726,3150889172
103,Education,2015-03-03,El Reino a Jugar,5595537,282,2577662419
104,Entertainment,2013-09-01,Você Sabia?,19725572,700,2133005228
105,Entertainment,2015-02-03,SurpriseJoe,3930987,75,816423624
106,,2017-01-14,Tin Tức Mỗi Ngày,856521,344,88530821
107,Entertainment,2013-03-05,Baby Big Mouth,9965889,3372,10944954731
108,Music,2011-09-10,PTXofficial,16173804,174,3670871027
109,Entertainment,2015-07-06,Blippi Toys,3034426,113,2281928336
110,Education,2017-01-13,Blippi Español,3488279,48,1356529432
111,People,2015-11-02,KiKiDo,3414305,297,1677618790
112,Music,2016-05-06,DJ Smile ViP,472439,157,120541067
113,,2018-03-13,Smile Toys Review,0,37,262429757
114,Entertainment,2016-08-07,Weird Stuff,1449283,527,492191829
115,Entertainment,2016-01-14,Like Nastya,10856723,231,3085207727
116,,2017-07-05,DLS News,10028295,1937,921954322
117,Entertainment,2015-01-23,Kid Studio,3360416,1271,2232931070
118,Entertainment,2016-02-26,Sun TV,3240861,1151,309940739
119,Entertainment,2016-07-28,Pinoy Big Brother,1301598,1765,651345964
120,Music,2015-10-15,Lil pump,13115921,25,2366078645
121,Film,2015-08-28,BIGFUN,0,456,1279449141
122,Entertainment,2014-09-04,TRANS7 OFFICIAL,3051531,35574,1308961352
123,Music,2016-08-29,KhalidVEVO,2443798,52,1559821058
124,Entertainment,2015-06-13,OLIE THE CUB,6550762,641,1995260651
125,Entertainment,2016-04-23,Princess Bánh Bao,3894149,551,1468691847
126,Howto,2010-03-23,Flipkart,0,736,954009099
127,Music,2011-12-26,Mr. Gengar,1889156,3068,1301974358
128,Music,2011-05-16,Daddy Yankee,17810801,326,6216109792
129,,2016-10-21,Crime Patrol Dehati,618979,122,180184937
130,Education,2016-10-27,Prachin Rahasya,2340852,748,416380938
131,News,2015-03-23,The Lallantop,5058303,4968,878561662
132,,2015-10-11,CON HEO DAT TV,0,9,92964829
133,News,2012-10-09,Inside Edition,5090347,15633,6146728338
134,,2017-06-21,Hola Niño,2512873,31,481685768
135,Music,2014-06-10,ShawnMendesVEVO,11469829,106,5468887083
136,Music,2010-01-03,Coldplay,13412628,208,8347296728
137,Comedy,2017-03-20,Jkk Entertainment,3990202,70,755766084
138,Music,2007-01-22,Ariana Grande`,29601304,122,558542007
139,,2017-12-08,حِرف إبداعية في 5 دقائق,4544011,1234,1040210093
140,People,2011-08-10,BuzzFeedVideo,18000428,5737,14480088938
141,Entertainment,2011-12-02,Surya Citra Televisi (SCTV),3090208,18472,1680751374
142,Music,2009-09-26,JustinBieberVEVO,33998450,122,18173642858
143,Entertainment,2011-10-18,RedeTV,6753856,18332,4122381360
144,News,2005-10-02,CNN,5479841,143602,4017713108
145,Entertainment,2009-08-08,GMA Public Affairs,3497965,16195,2216367988
146,,2018-01-15,Primitive Technology KH,1276612,122,356672549
147,Entertainment,2008-01-02,HAR PAL GEO,3187793,5249,1236112299
148,Howto,2015-12-09,ToysPlay,1509847,121,740217693
149,Games,2013-03-19,Lachlan,9432993,3080,2298399433
150,Music,2018-03-13,TikTok,4959,126,868801241
151,News,2014-02-05,AMARIN TVHD,4199484,73587,3250289304
152,Entertainment,2018-02-22,Bizim Hikaye,1454943,1500,954626614
153,Entertainment,2017-03-28,Susi kids TV,1504005,501,1093334345
154,Shows,2014-05-09,Sony PAL,3989222,8245,1965572587
155,Entertainment,2013-05-03,Haryanvi Maina,7236719,3317,3253514217
156,Entertainment,2006-05-19,StarPlus,7838262,7414,1824136277
157,Games,2012-07-14,DanTDM,20716221,2996,14005662032
158,Games,2011-09-15,VanossGaming,23961871,910,10251570831
159,Film,2014-12-02,Totoykids,11902462,739,5781728611
160,Music,2015-12-07,CNCOVEVO,6177583,51,4530142194
161,,2016-06-27,rayane toys for kids,617433,58,131798995
162,Entertainment,2016-11-18,"Kids, Toys & Adventures",3393058,107,750997381
163,Entertainment,2009-07-30,MBCentertainment,4617246,60675,5614682498
164,Music,2015-03-24,Mor Haryanvi,4229788,347,1342107176
165,Games,2012-01-30,TheGrefg,8835049,2306,2153680730
166,Games,2014-10-28,iGAMING TV,2139805,373,878783537
167,Entertainment,2007-11-01,Magic Club,0,62,84021977
168,Entertainment,2006-02-27,Stephen Sharer,5322456,432,1845055167
169,Games,2008-03-02,VEGETTA777,25023356,4908,9781190538
170,Film,2013-10-09,Peppa Pig - Official Channel,6686696,324,2340487018
171,Entertainment,2014-12-17,DIEN QUAN Comedy / Hài,3750300,2604,2648304623
172,,2016-05-26,Janta Films Pvt.Ltd.,326162,193,210333057
173,Music,2015-11-27,HD Songs Bollywood,3127305,121,279637468
174,Film,2017-11-08,Riki MUSIC,1627256,125,398441906
175,Entertainment,2006-07-06,Reliance Entertainment,1266661,960,623261503
176,Film,2013-01-24,Jingle Toons,6944937,174,2380715887
177,Music,2014-06-23,HalseyVEVO,3147742,102,1299973790
178,Music,2009-05-12,TaylorSwiftVEVO,27890575,82,15914807675
179,,2016-11-15,Alex 366,879401,867,408429855
180,Entertainment,2015-03-12,Caso Cerrado,4729491,2827,2636756367
181,Music,2011-04-13,Meek Mill,2830205,135,1492629285
182,Entertainment,2008-08-26,Zee Tamil,3467374,31177,1865647233
183,,2016-11-21,ABCkidTV Misa,1827734,58,409780543
184,Sports,2012-09-03,Toy For Kids [토이포키즈],1118679,67,290416833
185,Music,2009-12-13,KatyPerryVEVO,26508950,125,16653611217
186,Entertainment,2010-04-09,MrSuicideSheep,10711893,2154,4279498094
187,Entertainment,2006-07-18,Guava Juice,12583716,1221,5021848564
188,Film,2013-09-09,Official Pink Panther,5340167,430,2795217443
189,Music,2009-01-30,DEL Records,5347487,1883,3976521720
190,Music,2008-09-04,avex,4416583,9786,6559706600
191,Music,2011-07-13,TheWeekndVEVO,11305098,44,7126547921
192,Music,2015-04-01,Sonotek Haryanvi,6854946,6608,2641562433
193,,2016-11-19,Gjigandet e Vegjel,2393453,19,518755883
194,Entertainment,2007-11-08,Zee Marathi,3450921,54031,2607791143
195,Games,2015-11-14,Vanimy,529725,251,63624720
196,Entertainment,2014-10-20,Познаватель,8642022,301,2796695033
197,,2017-02-09,Ninja Kidz TV,3332353,88,1178508362
198,News,2010-09-27,Thairath,4812482,101142,2907778158
199,Entertainment,2015-07-17,Toys Make Me Smile,5114219,83,1608422601
200,Entertainment,2014-10-29,Cut,6817274,898,2045729618
201,,2017-09-13,Çukur,2502902,1040,1647927793
202,Education,2011-08-23,Tareasplus,417387,1168,71624021
203,Music,2011-11-15,Chris Rinaldi,392441,39,50873759
204,Entertainment,2017-07-07,KOCOWA TV,2124160,4522,952832206
205,Film,2015-02-07,Toys Unlimited,6600042,1606,4395241021
206,Sports,2014-12-14,NFL,4248202,15348,2552907668
207,,2017-05-25,Kiddiestv Hindi,2912630,93,987138691
208,,2018-01-13,FlareTV,754997,12,130814871
209,People,2010-08-18,Kids Learning Songs,0,111,577402495
210,Entertainment,2016-09-24,ToyTocToc,4698543,473,1480493942
211,Games,2011-05-12,BCC Trolling,8562407,3510,2111752279
212,People,2010-09-30,Colgate - Brasil,59455,68,128712724
213,Howto,2017-10-30,5-Minute Crafts KIDS,8968381,1210,1655813938
214,Music,2017-08-19,EHPMusicChannel,624407,583,645884595
215,People,2014-04-06,HIMAWARIちゃんねる,1495981,1043,1846916770
216,Education,2014-12-04,Dave and Ava - Nursery Rhymes and Baby Songs,4833106,394,2911483421
