,category,name,subs_last30d_count,views_last30d_count
0,Music,T-Series,5308606 ,2473896000
1,Howto,5-Minute Crafts,3204704 ,708033000
2,Entertainment,VN Children’s Music,0 ,414468000
3,Education,Cocomelon - Nursery Rhymes,3040335 ,1264509000
4,People,Like Nastya Vlog,1827977 ,681978000
5,Entertainment,Salih Reis'in Dünyası,0 ,621600000
6,Music,U2VEVO,-2748 ,307767000
7,Entertainment,✿ Kids Diana Show,1839159 , 599265000
8,Film,jorgeembon,977 ,258639600
9,Music,netd müzik,277688 ,614010000
10,Tech,Google,63584 ,288108300
11,Music,Zee Music Company,1290204 ,501276000
12,People,Boram Tube ToysReview [보람튜브…,1366614 ,384192000
13,People,سيف SAIIF,38741 ,10394670
14,Education,Toys and Colors,715366 ,470538000
15,Entertainment,one31,594304 ,441069000
16,Music,GR6 EXPLODE,926914 ,423288000
17,Music,Sony Music India,1413264 ,402774000
18,Entertainment,CKN Toys,440341 ,387192000
19,Music,SonyMusicIndiaVEVO,1014284 ,378738000
20,People,BLACKPINK,1921862 ,386589000
21,Comedy,All Of Vines,52616 ,174198600
22,Howto,HelloMaphie,1300116 ,307278000
23,Entertainment,LES BOYS TV2,0 ,246575700
24,Music,1theK (원더케이),468247 ,308697000
25,Music,قناة طيور الجنة | toyoraljanahtv,413756 ,292446000
26,,KutKit Kids,571662 ,147272742
27,Entertainment,Shemaroo,532670 ,306198000
28,Music,Maroon5VEVO,-36803 ,300849000
29,Music,RSDivulga - Funk,7154 ,-6836340 
30,Entertainment,NIMAGAP TV,9606 ,-2085810
31,Entertainment,z a m,-3583 ,131229600
32,Film,Goldmines Telefilms,1090818 ,0
33,Music,Venus,728224 ,267465600
34,Music,DJSnakeVEVO,-22813 ,289010700
35,Music,WORLDSTARHIPHOP,543041 ,360597000
36,Comedy,Dehati India N Masti,867271 ,317589000
37,People,KidzToon,0 ,57729595
38,Entertainment,Webs & Tiaras - Toy Monster Compilations,244150 ,244123959 
39,Entertainment,SuperToyzCollector,1197997 ,282132300
40,News,Aaj Tak,1001292 ,195273000
41,Howto,Izabela Stress,795850 ,216010800
42,,Boong Family,617259 ,129941996
43,Howto,LY LY ToysReview,0 ,120555600
44,Music,Galinha Pintadinha,386359 ,223045200
45,Music,Bounce Patrol Kids,512674 ,227816700
46,Entertainment,ThaiCh8 : ช่อง 8,421540 ,235815600
47,People,Las Ratitas,712159 ,232780800
48,Games,June WH Lake,0 ,105946200
49,People,Hello TV- Nursery Rhymes,751567 ,230274600
50,Music,David Guetta,415289 ,245317800
51,,Mr. Tsismoso,11574 ,105385200
52,Music,Wave Music - Bhojpuri,355649 ,227689800
